OBJECTID,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
15067,GO-2018973896,THEFT OVER,5/8/2018 5:00:00 AM,2018,May,Tuesday,8,128,15,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,8,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NORCO,XFR 1-2016,OT,30,BLKRED,1499.98999023438,STOLEN,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.5001160037269,43.6361160570925,-8849912.43157145,5409301.90875605
15068,GO-20189016805,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,8,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,13,D55,"Apartment (Rooming House, Condo)",Apartment,OT,SIRRUS,RG,21,BRN,750,STOLEN,070,South Riverdale (70),070,South Riverdale (70),-79.3413130830869,43.662122019282,-8832234.57126925,5413302.80561388
15069,GO-2018968329,B&E,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,12,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,16,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,,MT,18,BLK,,STOLEN,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.2712820726815,43.6913100337298,-8824438.75489631,5417795.31129301
15070,GO-20189016746,THEFT UNDER,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,22,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,0,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,IN,,MT,18,RED,500,STOLEN,155,Downsview (155),026,Downsview-Roding-CFB (26),-79.484497460784,43.7369528678336,-8848173.78331777,5424824.86365177
15071,GO-20189016771,THEFT UNDER - BICYCLE,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,8,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,10,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,SLIDER,MT,7,,0,STOLEN,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4218735262726,43.6590310054261,-8841202.51876209,5412827.17669245
15072,GO-2018977223,THEFT UNDER - BICYCLE,5/27/2018 5:00:00 AM,2018,May,Sunday,27,147,18,5/30/2018 5:00:00 AM,2018,May,Wednesday,30,150,15,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,NITRO XT,RG,21,BLUWHI,300,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3790891504773,43.6649510040547,-8836439.78381186,5413738.13635849
15073,GO-20189016952,THEFT UNDER - BICYCLE,5/29/2018 5:00:00 AM,2018,May,Tuesday,29,149,1,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,16,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,ALIBI STEP THRO,RG,8,BLK,650,STOLEN,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3650441603408,43.6651291042328,-8834876.30267687,5413765.54348419
15074,GO-20189016961,THEFT UNDER - BICYCLE,5/23/2018 5:00:00 AM,2018,May,Wednesday,23,143,9,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,D14,"Apartment (Rooming House, Condo)",Apartment,UK,VITA COMP CARBO,OT,20,BLK,2500,STOLEN,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3997708334271,43.6437231828269,-8838742.05823217,5410472.05064146
15075,GO-20189016895,THEFT UNDER,5/24/2018 5:00:00 AM,2018,May,Thursday,24,144,20,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,GTX-2 MEN'S HYB,RG,21,BLK,200,STOLEN,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3939232376047,43.6506675898313,-8838091.1069344,5411540.38127003
15076,GO-20189016959,THEFT UNDER - BICYCLE,12/3/2017 5:00:00 AM,2017,December,Sunday,3,337,16,5/31/2018 5:00:00 AM,2018,May,Thursday,31,151,17,D51,"Apartment (Rooming House, Condo)",Apartment,GI,,MT,12,,1200,STOLEN,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3801027493832,43.6636958027995,-8836552.61713641,5413544.98059826
