OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2013,February,Saturday,D14,"Apartment (Rooming House, Condo)",Apartment,OT,2200.0,STOLEN,Kensington-Chinatown (78)
2014,March,Saturday,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,2000.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,March,Monday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RG,400.0,STOLEN,Runnymede-Bloor West Village (89)
2014,March,Monday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,300.0,STOLEN,Runnymede-Bloor West Village (89)
2014,March,Monday,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SC,500.0,STOLEN,Moss Park (73)
2014,January,Wednesday,D55,Ttc Subway Station,Transit,MT,400.0,STOLEN,South Riverdale (70)
2014,March,Saturday,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,500.0,STOLEN,Birchcliffe-Cliffside (122)
2014,March,Tuesday,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,MT,1000.0,STOLEN,Greenwood-Coxwell (65)
2014,March,Wednesday,D53,"Group Homes (Non-Profit, Halfway House, Social Agency)",Other,RC,250.0,STOLEN,Annex (95)
2014,March,Sunday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,500.0,STOLEN,North St.James Town (74)
2014,March,Sunday,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,300.0,STOLEN,Don Valley Village (47)
2014,March,Tuesday,D51,"Apartment (Rooming House, Condo)",Apartment,EL,,STOLEN,Downtown Yonge East (168)
2014,March,Wednesday,D51,Universities / Colleges,Educational,RG,300.0,STOLEN,Downtown Yonge East (168)
2014,March,Thursday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,895.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,March,Monday,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,200.0,STOLEN,South Eglinton-Davisville (174)
2014,March,Friday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1000.0,STOLEN,Church-Wellesley (167)
2014,March,Wednesday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TO,100.0,STOLEN,Yonge-Bay Corridor (170)
2014,March,Wednesday,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,400.0,STOLEN,Leaside-Bennington (56)
2014,March,Wednesday,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,300.0,STOLEN,Leaside-Bennington (56)
2014,March,Friday,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,200.0,STOLEN,Briar Hill-Belgravia (108)
2014,March,Sunday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,932.25,STOLEN,Annex (95)
2014,March,Monday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1800.0,STOLEN,Church-Wellesley (167)
2014,March,Sunday,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,500.0,STOLEN,Markland Wood (12)
2014,March,Tuesday,D52,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,RG,800.0,STOLEN,Yonge-Bay Corridor (170)
2014,January,Saturday,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,EL,2500.0,STOLEN,Wellington Place (164)
2014,March,Thursday,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,MT,,UNKNOWN,Thorncliffe Park (55)
2014,March,Thursday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,3000.0,STOLEN,Downtown Yonge East (168)
2014,March,Thursday,D54,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,EL,2000.0,STOLEN,O'Connor-Parkview (54)
2014,March,Thursday,D52,Convenience Stores,Commercial,OT,0.0,STOLEN,Kensington-Chinatown (78)
